Nome,Precos
['Cerveja Invicta New Senssesion Garrafa 500ml'],"['R$19,99']"
['Kit Caneca + 2 Cervejas Münchner Helles Original HB 500ml Cada'],"['R$109,99']"
['Kit Linguiça com alho poró Seara Gourmet 500g + Mostarda Amarela Heinz Squeeze 255g + 8 Cerveja Stella Artois Puro Malte 350ml Lata'],"['R$00,00']"
"['Compre 1 costela e +R$1,00 leve 1 pack de Colorado Ribeirão Lager 350ml']","['R$103,93']"
"[""Cerveja Fuller's Golden Pride Garrafa 500ml""]","['R$42,99']"
['Cerveja Stella Artois Puro Malte 269ml Lata Pack C/8'],"['R$27,12']"
['Kit Churrasco: 1 QA CARVAO VEGETAL QUALITA 5KG + Cerveja BRAHMA DUPLO MALTE 350 ml Lata (Pack 24 unidades)'],"['R$100,55']"
['Kit 6 Cervejas Corona 330 ML Long Neck + Limão Tahiti 500g'],"['R$39,43']"
"['Kit São João, com Brahma Chopp, Amendoim e Paçoquinha YOKI para aproveitar o São João em casa ']","['R$00,00']"
"[""Cerveja Three Monkeys I'm Sour Goiaba e Pitaya Lata 473ml""]","['R$24,99']"
['Cerveja Belga VEDETT White Garrafa 330ml - Caixa com 24 Unidades'],"['R$575,76']"
['Cerveja Belga VEDETT White Garrafa 330ml Cada - Caixa com 4 unidades'],"['R$95,96']"
['Cerveja Belga VEDETT White Garrafa 330ml'],"['R$23,99']"
['Cerveja Bohemia Puro Malte 350ml Lata Pack C/18'],"['R$52,02']"
['Cerveja Velhas Virgens Indie Man Garrafa 500ml'],"['R$24,99']"
['Cerveja INVICTA Saison À Trois Garrafa 500ml'],"['R$19,99']"
['Cerveja LEUVEN Belgian Ipa DRAGON Garrafa 500ml'],"['R$24,99']"
['Cerveja Artesanal Martina Session IPA Blondine Lata 350ml'],"['R$12,99']"
['Cerveja AVÓS Vó Terezinha German Pils Lata 473ml'],"['R$25,99']"
['Cerveja Munich Helles Dom Pedro Dom Haus Lata 350ml'],"['R$17,99']"
['Cerveja AVÓS Vó Ana Wheat Lager Lata 473ml'],"['R$25,99']"
['Cerveja LEUVEN Dubbel com Cacau MONK Garrafa 500ml'],"['R$25,99']"
['Cerveja Bier DAMA Weissbier Garrafa 600ml'],"['R$19,99']"
['Cerveja Summit APA Tupiniquim Garrafa 350ml'],"['R$13,99']"
['Cerveja MARTINA Artesanal Witbier Garrafa 300ml'],"['R$8,99']"
['Cerveja Budweiser American Lager 550ml Garrafa'],"['R$8,49']"
['Cerveja Kölsch Ginjo Puro Malte Prius Prime Garrafa 600ml'],"['R$19,99']"
['Cerveja American Pale Ale Prime Bier Garrafa 600ml'],"['R$24,99']"
['Cerveja BRAHMA Chopp Lata 350ml'],"['R$2,99']"
"[""Cerveja Fuller's Ipa Garrafa 500ml""]","['R$42,99']"
['Cerveja Yellowhops Puro Malte Lata 350ml'],"['R$3,89']"
['Cerveja Blondine Tropical Jabuticaba Garrafa 500ml'],"['R$32,99']"
['Cerveja Artesanal Horny Pig Blondine 350ml'],"['R$13,99']"
['Cerveja Jamaicana RED STRIPE Lager Garrafa 330ml'],"['R$11,99']"
['Cerveja MARTINA Artesanal Session Ipa Garrafa 600ml'],"['R$18,99']"
['Cerveja LEUVEN Witbier WITCH Garrafa 500ml'],"['R$14,99']"
['Cerveja LEUVEN Weissbier ARCHER Garrafa 500ml'],"['R$21,99']"
['Cerveja Indiana Clara White Ale THREE MONKEYS 500ml'],"['R$22,99']"
['Cerveja Dinamarquesa FAXE Witbier Lata 500ml'],"['R$21,99']"
['Cerveja Session IPA Puro Malte Dom Hanks Dom Haus Garrafa 600ml'],"['R$22,79']"
['Cerveja INVICTA Hellbeirão Garrafa 500ml'],"['R$19,99']"
['Cerveja THREE MONKEYS Golden Ale 500ml '],"['R$20,99']"
['Cerveja Blondine Volcano 350ml Lata 350ml '],"['R$14,99']"
['Cerveja BLONDINE Pivo Czech Bohemian Pilsen 500ml'],"['R$19,99']"
['Cerveja IPA Maniacs Lata 350ml'],"['R$7,99']"
['Cerveja República Tcheca  CZECHVAR Budvar Garrafa 500ml'],"['R$23,99']"
['Cerveja American Ipa Hoppy Revolution Killbrew 500ml'],"['R$26,49']"
['Cerveja Session IPA Puro Malte Dom Hanks Dom Haus Lata 350ml'],"['R$16,99']"
['Cerveja APA Puro Malte Dom Lennon Dom Haus Garrafa 600ml Mosaic Edition'],"['R$23,79']"
['Cerveja Leffe Blonde 330ml Long Neck'],"['R$11,99']"
['Cerveja Münchner Hell Puro Malte Paulaner Garrafa 500ml'],"['R$26,85']"
['Cerveja Alemã Escura ERDINGER Weibbier Dunkel Garrafa 500ml'],"['R$29,79']"
['Cerveja Lubeck Witbier Tangerina Garrafa 500ml.'],"['R$18,99']"
['Cerveja BLONDINE Horney Pig Session Ipa Garrafa 500ml'],"['R$23,99']"
['Cerveja Bohemia Puro Malte 350ml Lata - Pack C/12'],"['R$37,08']"
['Cerveja AMSTEL Lager Lata 350ml - Caixa com 12 Unidades'],"['R$38,28']"
['Cerveja Brahma Chopp Pilsen 350ml Lata - Pack C/12'],"['R$35,88']"
['Cerveja BOHEMIA Lata 350ml Cada - 48 Unidades'],"['R$148,32']"
['Cerveja Mexicana SOL Garrafa 330ml - Caixa com 24'],"['R$102,96']"
"['Cerveja Skol, Pilsen 350ml Lata Pack C/18']","['R$50,22']"
['Cerveja Skol Pilsen 473ml Lata Pack C/12'],"['R$45,48']"
['Kit com 15 Cervejas SKOL Puro Malte Lata 269ml Cada + Sacola Cooler'],"['R$79,34']"
['Kit 12 Cervejas Lagunitas Ipa Long Neck 355ml + 1 Bacon em Fatias Seara Gourmet 250g + 2 Mix De Cogumelos Burger Seara Gourmet 320g'],"['R$179,45']"
['Cerveja AMSTEL Lager Garrafa 600ml - Caixa com 12 Unidades'],"['R$00,00']"
['Cerveja AMSTEL Lager Lata 473ml - Pack com 12 latas'],"['R$50,28']"
['Cerveja Blondine Hop Damage 350ml '],"['R$14,99']"
['Kit Linguiça cuiabana Seara Gourmet 500g + Mostarda Amarela Heinz Squeeze 255g + 8 Cervejas Stella Artois Puro Malte 350ml Lata'],"['R$00,00']"
['Cerveja BLONDINE Jackpot Lata 350ml'],"['R$10,99']"
['Cerveja IPA Ginjo Puro Malte Prius Prime Garrafa 600ml'],"['R$24,99']"
['Kit 1 Cerveja COLORADO DEMOISEL Garrafa 600ML + 2 Chocolate 60% Cacau Montblanc 80g'],"['R$46,97']"
['Cerveja Summer Ipa TUPINIQUIM Lata 350ml'],"['R$12,84']"
['Cerveja SCHIN Lata 350ml'],"['R$2,29']"
['Cerveja Goose Island Midway Long Neck 355ml'],"['R$8,99']"
['Cerveja Praya Witbier Lata 269ml'],"['R$5,99']"
['Cerveja Skol Pilsen 269ml Lata'],"['R$2,39']"
['Cerveja MARTINA Artesanal Session Ipa Garrafa 300ml'],"['R$9,09']"
['Cerveja Patagonia Bohemian Pilsener 355ml Long Neck'],"['R$5,39']"
['Cerveja Brahma Chopp Pilsen 269ml Lata'],"['R$2,49']"
['Cerveja KAISER Pilsen Latão 473ml'],"['R$2,89']"
['Cerveja COLORADO Ribeirão Lager 600 ML Garrafa'],"['R$10,99']"
['Cerveja Hocus Pocus Interstellar Garrafa 500ml'],"['R$27,99']"
['Cerveja FRANZISKANER Weissbier Dunkel Garrafa 500ml'],"['R$19,99']"
['Kit 6 Cervejas Brahma Duplo Malte 350Ml + Pizza de frango com catupiry Seara 460g'],"['R$36,13']"
['Kit Cerveja BLUE MOON Garrafa 355ml com 24 unidades'],"['R$383,76']"
['Kit 3 Cerveja Stella Artois SEM GLUTEN 330 ML Long Neck + \tKibe Seara incrível 300g'],"['R$34,76']"
['Cerveja Mexicana CORONA Garrafa 330ml - 24 Unidades'],"['R$143,76']"
['Cerveja Lager Premium Puro Malte Heineken Garrafa 330ml'],"['R$5,29']"
['Cerveja Malzbier Itaipava Lata 350ml'],"['R$3,39']"
['Cerveja Witbier Baden Baden Garrafa 600ml'],"['R$12,89']"
['Cerveja BADEN BADEN American Ipa Puro Malte Garrafa 600ml'],"['R$12,89']"
['Cerveja Amstel Ultra Garrafa 275ml'],"['R$3,99']"
['Cerveja COLORADO Indica Garrafa 600ML'],"['R$12,99']"
